Side,Classification,mean_pnl,win_rate,n_trades
BUY,Extreme Fear,-3.2488246960616434,0.0625,1168
BUY,Extreme Greed,9.047054575556892,0.31125827814569534,1661
BUY,Fear,210.42646589763243,0.33844258929793347,7307
BUY,Greed,15.661323912890698,0.2968374329572776,5407
BUY,Neutral,12.484274233333334,0.3264705882352941,1020
SELL,Extreme Fear,7.076479962003455,0.5250431778929189,1158
SELL,Extreme Greed,288.350130789394,0.6547979797979798,3960
SELL,Fear,36.82404698872295,0.43005181347150256,6562
SELL,Greed,89.20165747476636,0.5632965165675446,5885
SELL,Neutral,35.66980545046083,0.5938940092165899,1736
